day,numbers,dayoff,work,outsidework,workfhome,lunch_t,Month,Date,bob,soup,main,present
3,2601,50,150,238,0.0,1039.0,02,01,22,189,236,2163
4,2601,50,173,319,0.0,867.0,02,02,22,28,8,2059
2,2601,56,180,111,0.0,1017.0,02,03,49,249,334,2254
1,2601,104,220,355,0.0,978.0,02,04,22,149,309,1922
0,2601,278,181,34,0.0,925.0,02,05,22,75,106,2108
1,2601,383,143,417,0.0,1045.0,02,11,22,161,384,1658
0,2601,389,156,93,0.0,909.0,02,12,22,36,98,1963
3,2601,87,204,482,0.0,1268.0,02,15,22,159,69,1828
4,2601,72,236,526,0.0,1014.0,02,16,22,149,354,1767
2,2601,78,250,23,0.0,916.0,02,17,22,41,235,2250
1,2601,77,254,367,0.0,910.0,02,18,15,208,29,1903
0,2601,145,252,69,0.0,763.0,02,19,22,52,132,2135
3,2601,90,207,434,0.0,1298.0,02,22,22,146,19,1870
4,2601,57,237,488,0.0,899.0,02,23,22,235,93,1819
2,2601,54,232,14,0.0,1022.0,02,24,29,249,226,2301
1,2601,56,261,335,0.0,917.0,02,25,22,120,68,1949
0,2601,144,278,42,0.0,766.0,02,26,22,154,283,2137
3,2601,595,168,110,0.0,869.0,02,29,22,175,305,1728
2,2624,127,182,261,0.0,1127.0,03,02,22,151,309,2054
1,2624,61,224,351,0.0,1000.0,03,03,22,24,355,1988
0,2624,83,247,79,0.0,837.0,03,04,22,118,8,2215
3,2624,50,195,456,0.0,1326.0,03,07,22,235,68,1923
4,2624,47,212,426,0.0,1026.0,03,08,22,226,36,1939
2,2624,43,225,0,0.0,901.0,03,09,22,121,107,2356
1,2624,55,245,290,0.0,847.0,03,10,22,18,74,2034
0,2624,108,275,76,0.0,728.0,03,11,22,110,242,2165
3,2624,61,183,376,0.0,1286.0,03,14,22,171,96,2004
4,2624,38,231,399,0.0,958.0,03,15,22,165,225,1956
2,2624,50,213,0,0.0,998.0,03,16,4,236,166,2361
1,2624,52,242,327,0.0,832.0,03,17,22,129,354,2003
0,2624,118,277,57,0.0,757.0,03,18,22,159,384,2172
3,2624,65,205,329,0.0,1030.0,03,21,22,36,175,2025
4,2624,41,208,378,0.0,917.0,03,22,22,152,343,1997
2,2624,42,236,0,0.0,963.0,03,23,52,78,331,2346
1,2624,53,251,293,0.0,876.0,03,24,22,120,235,2027
0,2624,98,275,59,0.0,861.0,03,25,22,48,299,2192
3,2624,77,197,299,0.0,1193.0,03,28,22,175,68,2051
4,2624,52,245,259,0.0,892.0,03,29,22,193,309,2068
2,2624,48,230,0,0.0,1033.0,03,30,26,223,288,2346
1,2624,36,248,158,0.0,781.0,03,31,22,89,98,2182
0,2643,103,254,47,0.0,661.0,04,01,22,114,21,2239
3,2643,62,221,367,0.0,1237.0,04,04,22,157,236,1993
4,2643,31,242,370,0.0,840.0,04,05,22,121,285,2000
2,2643,37,249,0,0.0,876.0,04,06,22,191,305,2357
1,2643,47,258,339,0.0,853.0,04,07,22,171,139,1999
0,2643,87,283,64,0.0,764.0,04,08,22,110,253,2209
3,2643,82,203,392,0.0,1225.0,04,11,22,161,384,1966
4,2643,76,225,239,0.0,771.0,04,12,22,118,228,2103
1,2643,106,252,326,0.0,969.0,04,14,22,154,98,1959
0,2643,131,281,82,0.0,579.0,04,15,22,42,74,2149
3,2643,81,225,330,0.0,1120.0,04,18,22,110,95,2007
4,2643,44,239,387,0.0,980.0,04,19,22,211,59,1973
2,2643,47,262,0,0.0,849.0,04,20,51,24,147,2334
1,2643,66,264,312,0.0,940.0,04,21,22,50,232,2001
0,2643,150,275,86,0.0,698.0,04,22,22,121,123,2132
3,2643,96,201,281,0.0,1227.0,04,25,22,235,87,2065
4,2643,51,227,304,0.0,795.0,04,26,22,149,309,2061
2,2643,71,234,0,0.0,1028.0,04,27,13,99,46,2338
1,2643,56,269,196,0.0,811.0,04,28,22,100,264,2122
0,2643,139,282,28,0.0,652.0,04,29,22,58,168,2194
3,2635,80,214,302,0.0,1242.0,05,02,22,159,68,2039
4,2635,65,251,292,0.0,964.0,05,03,4,92,156,2027
2,2635,150,244,0,0.0,723.0,05,04,22,152,283,2241
3,2635,101,233,344,0.0,1216.0,05,09,22,88,384,1957
4,2635,53,252,350,0.0,1008.0,05,10,22,235,175,1980
2,2635,60,266,0,0.0,915.0,05,11,17,162,108,2309
1,2635,71,274,315,0.0,753.0,05,12,22,188,318,1975
0,2635,185,268,80,0.0,761.0,05,13,22,64,139,2102
3,2635,99,216,368,0.0,1180.0,05,16,22,5,98,1952
4,2635,41,254,377,0.0,899.0,05,17,22,71,36,1963
2,2635,71,257,0,0.0,856.0,05,18,31,99,334,2307
1,2635,65,266,264,0.0,898.0,05,19,22,180,166,2040
0,2635,169,287,56,0.0,653.0,05,20,22,157,80,2123
3,2635,88,203,362,0.0,1160.0,05,23,22,123,233,1982
4,2635,74,234,310,0.0,1107.0,05,24,22,250,53,2017
2,2635,72,258,0,0.0,938.0,05,25,14,104,354,2305
1,2635,64,285,227,0.0,783.0,05,26,22,153,19,2059
0,2635,163,291,61,0.0,660.0,05,27,22,110,79,2120
3,2635,73,215,291,0.0,1231.0,05,30,22,236,65,2056
4,2635,50,250,185,0.0,921.0,05,31,22,24,68,2150
2,2637,75,245,0,0.0,916.0,06,01,41,9,288,2317
1,2637,81,258,301,0.0,850.0,06,02,22,185,156,1997
0,2637,191,268,64,0.0,721.0,06,03,22,226,318,2114
4,2637,115,192,389,0.0,1244.0,06,07,22,120,98,1941
2,2637,58,240,0,0.0,931.0,06,08,22,227,251,2339
1,2637,69,252,359,0.0,829.0,06,09,22,89,117,1957
0,2637,151,270,61,0.0,697.0,06,10,22,64,283,2155
3,2637,98,209,415,0.0,1243.0,06,13,22,123,305,1915
4,2637,56,241,432,0.0,973.0,06,14,22,110,79,1908
2,2637,60,260,0,0.0,984.0,06,15,49,78,127,2317
1,2637,73,263,336,0.0,800.0,06,16,22,118,5,1965
0,2637,165,291,60,0.0,694.0,06,17,22,36,95,2121
3,2637,101,257,344,0.0,1146.0,06,20,22,171,130,1935
4,2637,49,248,349,0.0,1091.0,06,21,22,52,12,1991
2,2637,47,258,0,0.0,1022.0,06,22,22,161,91,2332
1,2637,53,271,346,0.0,877.0,06,23,22,149,145,1967
0,2637,169,284,52,0.0,805.0,06,24,22,56,160,2132
3,2637,96,227,300,0.0,1142.0,06,27,22,110,384,2014
4,2637,63,253,226,0.0,917.0,06,28,22,211,34,2095
2,2637,67,248,0,0.0,820.0,06,29,22,235,9,2322
1,2637,76,247,151,0.0,886.0,06,30,22,113,80,2163
0,2643,145,215,41,0.0,879.0,07,01,22,154,296,2242
3,2643,88,190,385,0.0,1292.0,07,04,22,5,175,1980
4,2643,55,226,376,0.0,952.0,07,05,22,151,56,1986
2,2643,56,224,0,0.0,939.0,07,06,4,3,70,2363
1,2643,64,238,340,0.0,857.0,07,07,22,64,21,2001
0,2643,155,260,60,0.0,863.0,07,08,22,202,15,2168
3,2643,121,210,366,0.0,1115.0,07,11,22,261,98,1946
4,2643,72,223,382,0.0,919.0,07,12,22,13,254,1966
2,2643,79,241,0,0.0,866.0,07,13,13,184,184,2323
1,2643,84,252,308,0.0,781.0,07,14,22,110,144,1999
0,2643,189,261,55,0.0,867.0,07,15,22,120,123,2138
3,2643,126,208,343,0.0,1158.0,07,18,22,157,103,1966
4,2643,111,233,263,0.0,888.0,07,19,22,161,159,2036
2,2643,124,238,0,0.0,844.0,07,20,22,130,168,2281
1,2643,115,255,263,0.0,733.0,07,21,22,205,40,2010
0,2643,251,272,47,0.0,661.0,07,22,48,99,29,2073
3,2643,277,180,247,0.0,1086.0,07,25,22,151,181,1939
4,2643,260,185,269,0.0,927.0,07,26,22,229,166,1929
2,2643,299,192,0,0.0,872.0,07,27,22,159,114,2152
1,2643,340,204,197,0.0,816.0,07,28,22,36,386,1902
0,2643,486,207,36,0.0,671.0,07,29,38,56,58,1914
3,2644,512,109,238,0.0,1055.0,08,01,22,119,19,1785
4,2644,460,167,268,0.0,829.0,08,02,39,249,61,1749
2,2644,485,183,0,0.0,802.0,08,03,22,114,130,1976
1,2644,467,200,262,0.0,671.0,08,04,22,116,74,1715
0,2644,538,212,46,0.0,641.0,08,05,22,64,146,1848
3,2644,421,180,255,0.0,1038.0,08,08,22,259,296,1788
4,2644,392,182,286,0.0,874.0,08,09,22,235,167,1784
2,2644,411,188,0,0.0,842.0,08,10,22,131,300,2045
1,2644,413,202,295,0.0,845.0,08,11,22,161,193,1734
0,2644,587,215,60,0.0,708.0,08,12,27,78,201,1782
4,2644,352,177,351,0.0,1023.0,08,16,22,49,38,1764
2,2644,311,191,0,0.0,924.0,08,17,22,50,283,2142
1,2644,274,215,364,0.0,943.0,08,18,22,180,14,1791
0,2644,345,237,59,0.0,754.0,08,19,17,56,223,2003
3,2644,115,159,458,0.0,1266.0,08,22,22,36,39,1912
4,2644,86,211,386,0.0,1145.0,08,23,22,110,340,1961
2,2644,113,209,0,0.0,941.0,08,24,22,252,76,2322
1,2644,123,241,308,0.0,885.0,08,25,22,211,112,1972
0,2644,194,269,70,0.0,813.0,08,26,22,75,133,2111
3,2644,132,202,352,0.0,1258.0,08,29,22,157,225,1958
4,2644,96,242,268,0.0,901.0,08,30,22,115,19,2038
2,2644,98,236,0,0.0,915.0,08,31,15,3,27,2310
1,2769,99,250,336,0.0,953.0,09,01,22,188,159,2084
0,2769,177,279,76,0.0,832.0,09,02,22,162,81,2237
3,2769,100,225,447,0.0,1164.0,09,05,22,152,283,1997
4,2769,59,253,477,0.0,784.0,09,06,22,118,7,1980
2,2769,65,241,0,0.0,926.0,09,07,4,67,103,2463
1,2769,69,255,438,0.0,758.0,09,08,22,64,272,2007
0,2769,137,288,86,0.0,682.0,09,09,22,268,293,2258
3,2769,328,176,306,0.0,924.0,09,12,22,161,76,1959
4,2769,511,108,52,0.0,820.0,09,13,22,243,139,2098
3,2769,167,180,550,0.0,1271.0,09,19,22,171,278,1872
4,2769,69,227,588,0.0,1039.0,09,20,22,175,130,1885
2,2769,58,246,0,0.0,1068.0,09,21,41,249,64,2465
1,2769,137,253,403,0.0,891.0,09,22,22,149,298,1976
0,2769,165,278,99,0.0,716.0,09,23,22,188,223,2227
3,2769,70,224,494,0.0,1185.0,09,26,22,168,295,1981
4,2769,56,233,380,0.0,1033.0,09,27,22,45,13,2100
2,2769,50,225,0,0.0,1128.0,09,28,49,78,205,2494
1,2769,153,227,331,0.0,1044.0,09,29,22,64,107,2058
0,2769,158,256,59,0.0,843.0,09,30,22,199,59,2296
4,2670,59,239,1035,0.0,1262.0,10,04,22,110,175,1337
2,2670,41,228,0,0.0,1336.0,10,05,22,226,144,2401
1,2670,56,245,378,0.0,1196.0,10,06,22,100,364,1991
0,2670,144,252,80,0.0,843.0,10,07,22,50,361,2194
3,2670,104,216,443,0.0,1180.0,10,10,22,152,283,1907
4,2670,69,256,386,0.0,1014.0,10,11,22,160,161,1959
2,2670,64,251,0,0.0,951.0,10,12,32,248,215,2355
1,2670,66,262,612,0.0,1051.0,10,13,22,75,133,1730
0,2670,144,265,172,0.0,898.0,10,14,22,10,123,2089
3,2670,107,241,425,0.0,1196.0,10,17,22,100,225,1897
4,2670,53,262,394,0.0,994.0,10,18,22,36,169,1961
2,2670,72,267,0,0.0,933.0,10,19,22,227,293,2331
1,2670,105,269,281,0.0,787.0,10,20,22,57,55,2015
0,2670,228,280,62,0.0,760.0,10,21,47,15,184,2100
3,2670,120,223,367,0.0,1171.0,10,24,22,64,305,1960
4,2670,73,259,345,0.0,1028.0,10,25,22,211,19,1993
2,2670,89,258,0,0.0,854.0,10,26,4,110,86,2323
1,2670,94,272,240,0.0,807.0,10,27,22,61,107,2064
0,2670,192,277,63,0.0,731.0,10,28,22,114,38,2138
3,2670,134,223,255,0.0,1224.0,10,31,22,24,234,2058
4,2689,70,212,515,0.0,1087.0,11,01,22,170,68,1892
2,2689,73,231,0,0.0,1006.0,11,02,51,3,382,2385
1,2689,72,283,408,0.0,864.0,11,03,22,149,314,1926
0,2689,168,276,81,0.0,803.0,11,04,22,130,153,2164
3,2689,133,222,539,0.0,1156.0,11,07,22,188,296,1795
4,2689,60,250,503,0.0,986.0,11,08,22,226,253,1876
2,2689,58,267,0,0.0,920.0,11,09,17,36,39,2364
1,2689,73,267,385,0.0,795.0,11,10,22,29,235,1964
0,2689,173,286,69,0.0,652.0,11,11,22,168,340,2161
3,2689,92,227,461,0.0,1260.0,11,14,22,171,219,1909
4,2689,66,273,418,0.0,914.0,11,15,22,25,74,1932
2,2689,60,250,0,0.0,888.0,11,16,23,220,294,2379
1,2689,134,263,411,0.0,882.0,11,17,22,137,368,1881
0,2689,219,287,57,0.0,730.0,11,18,22,241,251,2126
3,2689,94,202,522,0.0,1235.0,11,21,22,162,65,1871
4,2689,45,238,452,0.0,1046.0,11,22,22,50,234,1954
2,2689,52,251,0,0.0,891.0,11,23,22,158,358,2386
1,2689,61,262,351,0.0,870.0,11,24,22,154,312,2015
0,2689,200,279,68,0.0,720.0,11,25,49,78,357,2142
3,2689,114,219,397,0.0,1246.0,11,28,22,146,283,1959
4,2689,84,218,388,0.0,900.0,11,29,22,23,305,1999
2,2689,68,207,0,0.0,1109.0,11,30,13,3,335,2414
1,2705,84,243,688,0.0,956.0,12,01,22,235,156,1690
0,2705,183,272,152,0.0,766.0,12,02,22,75,262,2098
3,2705,101,207,839,0.0,1110.0,12,05,22,157,384,1558
4,2705,69,222,799,0.0,930.0,12,06,22,266,193,1615
2,2705,69,232,0,0.0,895.0,12,07,47,208,371,2404
1,2705,76,262,587,0.0,787.0,12,08,22,167,261,1780
0,2705,196,284,152,0.0,621.0,12,09,22,225,197,2073
3,2705,102,193,633,0.0,1069.0,12,12,22,236,98,1777
4,2705,65,226,511,0.0,770.0,12,13,22,42,343,1903
2,2705,82,247,0,0.0,904.0,12,14,36,3,31,2376
1,2705,98,234,229,0.0,850.0,12,15,22,241,272,2144
0,2705,167,262,37,0.0,699.0,12,16,22,152,19,2239
3,2705,104,217,197,0.0,1215.0,12,19,22,110,312,2187
4,2705,89,238,126,0.0,790.0,12,20,22,235,39,2252
2,2705,72,230,0,0.0,929.0,12,21,22,64,132,2403
1,2705,118,242,32,0.0,524.0,12,22,22,36,231,2313
0,2705,343,243,7,0.0,560.0,12,23,22,174,127,2112
3,2705,206,194,63,0.0,1192.0,12,26,22,61,94,2242
4,2705,127,236,51,0.0,823.0,12,27,22,180,68,2291
2,2705,166,225,0,0.0,767.0,12,28,51,3,170,2314
1,2705,242,201,42,0.0,711.0,12,29,22,161,285,2220
0,2705,529,127,3,0.0,658.0,12,30,22,157,244,2046
3,2697,96,102,272,0.0,1273.0,01,02,22,128,227,2227
4,2697,61,158,259,0.0,1041.0,01,03,22,266,138,2219
2,2697,67,170,0,0.0,949.0,01,04,4,267,111,2460
1,2697,79,207,316,0.0,1000.0,01,05,22,211,45,2095
0,2697,189,224,74,0.0,830.0,01,06,22,64,130,2210
3,2697,121,166,445,0.0,1322.0,01,09,22,235,115,1965
4,2697,70,199,412,0.0,1186.0,01,10,22,151,308,2016
2,2697,57,223,0,0.0,1039.0,01,11,29,249,207,2417
1,2697,85,238,305,0.0,976.0,01,12,22,171,136,2069
0,2697,191,247,62,0.0,791.0,01,13,22,222,167,2197
3,2697,123,196,432,0.0,1273.0,01,16,22,175,285,1946
4,2697,75,215,380,0.0,1035.0,01,17,22,157,234,2027
2,2697,59,240,0,0.0,863.0,01,18,22,167,384,2398
1,2697,93,236,334,0.0,866.0,01,19,22,154,295,2034
0,2697,207,267,61,0.0,709.0,01,20,22,48,7,2162
3,2697,108,202,396,0.0,1152.0,01,23,22,43,76,1991
4,2697,63,218,273,0.0,974.0,01,24,22,170,94,2143
2,2697,79,203,0,0.0,720.0,01,25,49,78,293,2415
1,2697,369,117,28,0.0,844.0,01,26,22,110,217,2183
4,2697,177,58,278,0.0,1240.0,01,31,22,100,270,2184
2,2632,61,179,0,0.0,1260.0,02,01,22,160,40,2392
1,2632,45,217,427,0.0,1005.0,02,02,22,20,255,1943
0,2632,104,253,92,0.0,854.0,02,03,22,235,218,2183
3,2632,49,202,610,0.0,1319.0,02,06,22,42,68,1771
4,2632,40,207,565,0.0,1114.0,02,07,22,50,294,1820
2,2632,52,206,0,0.0,1068.0,02,08,51,78,80,2374
1,2632,65,227,377,0.0,953.0,02,09,22,109,244,1963
0,2632,149,284,59,0.0,797.0,02,10,42,143,45,2140
3,2632,61,196,505,0.0,1364.0,02,13,22,151,305,1870
4,2632,53,223,444,0.0,997.0,02,14,22,64,309,1912
2,2632,51,233,0,0.0,1045.0,02,15,22,74,254,2348
1,2632,56,240,419,0.0,968.0,02,16,22,266,225,1917
0,2632,144,269,73,0.0,753.0,02,17,22,171,123,2146
3,2632,104,199,494,0.0,1216.0,02,20,22,180,115,1835
4,2632,63,226,445,0.0,1004.0,02,21,22,114,62,1898
2,2632,75,252,0,0.0,1065.0,02,22,13,208,213,2305
1,2632,75,272,307,0.0,917.0,02,23,22,235,117,1978
0,2632,174,291,63,0.0,698.0,02,24,22,154,49,2104
3,2632,134,181,368,0.0,1141.0,02,27,22,117,384,1949
4,2632,156,203,179,0.0,956.0,02,28,22,128,269,2094
1,2627,190,215,428,0.0,1057.0,03,02,22,58,360,1794
0,2627,174,256,70,0.0,926.0,03,03,49,78,166,2127
3,2627,63,201,490,0.0,1311.0,03,06,22,171,252,1873
4,2627,41,214,455,0.0,994.0,03,07,22,244,108,1917
2,2627,46,233,0,0.0,879.0,03,08,6,97,283,2348
1,2627,55,254,346,0.0,954.0,03,09,22,167,133,1972
0,2627,145,291,63,0.0,664.0,03,10,22,177,377,2128
3,2627,82,211,449,0.0,1295.0,03,13,22,188,175,1885
4,2627,46,230,437,0.0,972.0,03,14,22,61,170,1914
2,2627,40,234,0,0.0,961.0,03,15,22,23,262,2353
1,2627,47,259,357,0.0,951.0,03,16,22,193,98,1964
0,2627,129,299,59,0.0,625.0,03,17,22,18,330,2140
3,2627,86,207,390,0.0,1328.0,03,20,22,167,348,1944
4,2627,55,222,454,0.0,940.0,03,21,22,42,235,1896
2,2627,53,235,0,0.0,953.0,03,22,22,58,293,2339
1,2627,62,245,321,0.0,911.0,03,23,22,232,117,1999
0,2627,181,279,50,0.0,644.0,03,24,22,50,39,2117
3,2627,105,242,360,0.0,1114.0,03,27,22,170,223,1920
4,2627,44,248,368,0.0,970.0,03,28,22,144,309,1967
2,2627,42,237,0,0.0,966.0,03,29,25,249,269,2348
1,2627,67,278,223,0.0,802.0,03,30,22,123,184,2059
0,2627,147,296,45,0.0,639.0,03,31,22,150,214,2139
3,2626,81,198,465,0.0,1258.0,04,03,22,36,280,1882
4,2626,54,212,418,0.0,809.0,04,04,22,64,236,1942
2,2626,63,251,0,0.0,1060.0,04,05,47,77,294,2312
1,2626,65,271,317,0.0,897.0,04,06,22,23,133,1973
0,2626,151,291,67,0.0,602.0,04,07,22,211,166,2117
3,2626,81,229,418,0.0,1218.0,04,10,22,174,227,1898
4,2626,44,234,440,0.0,994.0,04,11,22,28,371,1908
2,2626,41,241,0,0.0,893.0,04,12,22,69,193,2344
1,2626,61,270,318,0.0,784.0,04,13,22,267,74,1977
0,2626,122,298,55,0.0,541.0,04,14,22,152,283,2151
3,2626,82,220,434,0.0,1237.0,04,17,22,64,98,1890
4,2626,57,244,405,0.0,839.0,04,18,22,74,235,1920
2,2626,36,256,0,0.0,871.0,04,19,4,78,354,2334
1,2626,44,288,284,0.0,713.0,04,20,22,167,123,2010
0,2626,137,307,59,0.0,547.0,04,21,22,236,175,2123
3,2626,76,260,373,0.0,1109.0,04,24,22,118,269,1917
4,2626,69,288,336,0.0,791.0,04,25,22,226,70,1933
2,2626,45,304,0,0.0,835.0,04,26,29,78,288,2277
1,2626,61,311,183,0.0,788.0,04,27,22,100,149,2071
0,2626,161,310,44,0.0,575.0,04,28,22,35,355,2111
4,2637,933,123,88,0.0,525.0,05,02,22,227,385,1493
1,2637,1224,41,45,0.0,383.0,05,04,22,69,68,1327
3,2637,715,130,151,0.0,792.0,05,08,22,18,236,1641
2,2637,68,223,0,0.0,1235.0,05,10,22,64,305,2346
1,2637,57,264,471,0.0,829.0,05,11,22,232,62,1845
0,2637,113,289,96,0.0,817.0,05,12,22,194,293,2139
3,2637,63,224,516,0.0,1203.0,05,15,22,241,100,1834
4,2637,41,266,486,0.0,890.0,05,16,22,152,283,1844
2,2637,46,268,0,0.0,864.0,05,17,22,180,235,2323
1,2637,60,287,343,0.0,796.0,05,18,22,118,45,1947
0,2637,146,305,81,0.0,662.0,05,19,22,135,253,2105
3,2637,63,240,504,0.0,1207.0,05,22,22,160,305,1830
4,2637,47,257,429,0.0,889.0,05,23,22,138,11,1904
2,2637,49,277,0,0.0,852.0,05,24,51,25,34,2311
1,2637,57,290,320,0.0,838.0,05,25,22,74,275,1970
0,2637,164,302,60,0.0,597.0,05,26,22,235,308,2111
3,2637,88,240,394,0.0,1193.0,05,29,22,267,225,1915
4,2637,57,256,293,0.0,821.0,05,30,22,175,114,2031
2,2637,43,265,0,0.0,910.0,05,31,39,3,353,2329
1,2648,66,265,317,0.0,914.0,06,01,22,184,123,2000
0,2648,165,293,77,0.0,699.0,06,02,22,58,196,2113
3,2648,633,150,174,0.0,760.0,06,05,22,23,98,1691
2,2648,75,228,0,0.0,1127.0,06,07,22,235,384,2345
1,2648,63,274,423,0.0,857.0,06,08,22,175,166,1888
0,2648,130,294,67,0.0,715.0,06,09,22,260,49,2157
3,2648,87,209,529,0.0,1140.0,06,12,22,179,234,1823
4,2648,47,234,451,0.0,916.0,06,13,22,56,314,1916
2,2648,55,253,0,0.0,907.0,06,14,6,3,334,2340
1,2648,64,268,318,0.0,763.0,06,15,22,152,19,1998
0,2648,164,305,62,0.0,644.0,06,16,22,168,187,2117
3,2648,102,226,455,0.0,1126.0,06,19,22,74,296,1865
4,2648,66,253,429,0.0,888.0,06,20,22,187,36,1900
2,2648,60,269,0,0.0,982.0,06,21,50,209,269,2319
1,2648,69,273,317,0.0,875.0,06,22,22,151,371,1989
0,2648,162,290,57,0.0,609.0,06,23,22,37,68,2139
3,2648,112,237,374,0.0,1147.0,06,26,22,226,383,1925
4,2648,59,256,309,0.0,973.0,06,27,22,123,283,2024
2,2648,58,259,0,0.0,745.0,06,28,51,175,194,2331
1,2648,66,266,209,0.0,814.0,06,29,22,202,15,2107
0,2648,188,296,34,0.0,695.0,06,30,22,32,136,2130
3,2839,66,214,414,0.0,1231.0,07,03,22,235,312,2145
4,2839,50,247,368,0.0,962.0,07,04,22,110,62,2174
2,2839,46,260,0,0.0,912.0,07,05,46,15,294,2533
1,2839,72,268,341,0.0,821.0,07,06,22,168,123,2158
0,2839,146,288,73,0.0,613.0,07,07,22,184,293,2332
3,2839,98,215,406,0.0,1084.0,07,10,22,235,175,2120
4,2839,62,232,380,0.0,866.0,07,11,22,171,308,2165
2,2839,69,263,0,0.0,918.0,07,12,0,132,322,2507
1,2839,79,277,311,0.0,765.0,07,13,22,23,117,2172
0,2839,209,286,57,0.0,613.0,07,14,22,118,21,2287
3,2839,132,212,424,0.0,1168.0,07,17,22,92,96,2071
4,2839,98,239,419,0.0,916.0,07,18,22,180,11,2083
2,2839,79,259,0,0.0,830.0,07,19,11,78,266,2501
1,2839,90,278,270,0.0,750.0,07,20,22,142,281,2201
0,2839,206,301,46,0.0,648.0,07,21,22,49,170,2286
3,2839,237,211,401,0.0,1119.0,07,24,22,173,348,1990
4,2839,214,243,272,0.0,827.0,07,25,22,64,7,2110
2,2839,254,246,0,0.0,797.0,07,26,13,99,359,2339
1,2839,334,240,221,0.0,804.0,07,27,22,238,254,2044
0,2839,419,264,46,0.0,501.0,07,28,22,152,308,2110
3,2839,524,156,192,0.0,945.0,07,31,22,179,234,1967
4,2645,466,181,320,0.0,745.0,08,01,22,118,371,1678
2,2645,454,188,0,0.0,799.0,08,02,22,36,166,2003
1,2645,451,207,301,0.0,776.0,08,03,22,185,80,1686
0,2645,544,238,55,0.0,668.0,08,04,22,235,305,1808
3,2645,428,168,351,0.0,1078.0,08,07,22,171,227,1698
4,2645,414,207,350,0.0,842.0,08,08,22,100,68,1674
2,2645,428,210,0,0.0,946.0,08,09,22,56,244,2007
1,2645,438,228,292,0.0,777.0,08,10,22,58,19,1687
0,2645,566,240,66,0.0,710.0,08,11,22,18,104,1773
3,2645,863,131,114,0.0,692.0,08,14,22,64,312,1537
2,2645,403,180,0,0.0,973.0,08,16,22,149,285,2062
1,2645,357,221,380,0.0,823.0,08,17,22,74,136,1687
0,2645,396,272,61,0.0,731.0,08,18,47,78,370,1916
3,2645,74,169,618,0.0,1232.0,08,21,22,220,220,1784
4,2645,74,213,484,0.0,1053.0,08,22,22,252,362,1874
2,2645,72,215,0,0.0,953.0,08,23,6,3,5,2358
1,2645,78,259,344,0.0,843.0,08,24,22,152,307,1964
0,2645,164,310,55,0.0,594.0,08,25,22,170,170,2116
3,2645,169,225,337,0.0,1191.0,08,28,22,235,94,1914
4,2645,121,260,294,0.0,877.0,08,29,22,110,68,1970
2,2645,116,270,0,0.0,898.0,08,30,31,99,269,2259
1,2645,110,281,189,0.0,852.0,08,31,22,211,45,2065
0,2642,177,303,45,0.0,663.0,09,01,22,161,384,2117
3,2642,113,243,416,0.0,1168.0,09,04,22,121,175,1870
4,2642,74,265,390,0.0,924.0,09,05,22,179,123,1913
2,2642,69,275,0,0.0,922.0,09,06,22,36,133,2298
1,2642,78,279,358,0.0,926.0,09,07,22,151,285,1927
0,2642,155,305,66,0.0,662.0,09,08,22,180,115,2116
3,2642,101,203,478,0.0,1350.0,09,11,22,162,296,1860
4,2642,72,242,430,0.0,993.0,09,12,22,226,371,1898
2,2642,57,253,0,0.0,945.0,09,13,50,99,127,2332
1,2642,68,291,317,0.0,860.0,09,14,22,17,81,1966
0,2642,198,290,70,0.0,602.0,09,15,22,227,66,2084
